,id,dimension,nombre,regimen,localidad,capacidad,geometry,r1_caminable,r1_bicicleta,r1_transporte
218,46005375,educacion,CEIP MEDITERRANI,PÚB.,MELIANA,18.0,POINT (728085.5111039395 4379101.105170758),0.0027054828430517876,0.20869870016401681,0.009574615395708917
220,46005508,educacion,CENTRE PRIVAT SAGRADO CORAZÓN,PRIV. CONC.,MISLATA,41.0,POINT (722106.8035386646 4372737.994249317),0.0016250047562048134,0.009804069334769221,0.0007509821201866697
221,46005511,educacion,CEIP GREGORI MAYANS I CÍSCAR,PÚB.,MISLATA,12.0,POINT (722420.1692613333 4372514.022090318),0.006519319906222995,0.021415695579030735,0.0003040712057782367
222,46005521,educacion,CEIP AMADEO TORTAJADA,PÚB.,MISLATA,42.0,POINT (722499.5880880572 4372788.593043363),0.0022679327652235094,0.0017533054456150008,0.001293125015118252
223,46005570,educacion,CEIP JAUME I,PÚB.,MISLATA,38.0,POINT (722615.6824410598 4372757.378276843),0.003935238305332806,0.008718197648112092,0.0011845611228951574
225,46005612,educacion,CENTRE PRIVAT SAN JAIME APÓSTOL,PRIV. CONC.,MONCADA,53.0,POINT (724060.6241402138 4380496.768405689),0.06737699339005908,0.00027213247959113283,0.001680316484750726
226,46005636,educacion,CENTRE PRIVAT SAN JOSÉ,PRIV. CONC.,MONCADA,16.0,POINT (723304.28338425 4380387.77590979),0.003254734570860075,0.0015079794234284514,0.0013210166370057736
227,46005661,educacion,CEIP VICENTE BLASCO IBÁÑEZ,PÚB.,MONCADA,24.0,POINT (723933.9949288385 4379954.16816303),0.0004856561882458535,0.004449444056708188,0.20869870016401681
228,46005685,educacion,CENTRE PRIVAT SAN PABLO-CEU,PRIV.,MONCADA,74.0,POINT (724319.6871790435 4381101.431362021),0.0004944436983060339,0.0014664856376785211,0.005054744640619387
229,46005703,educacion,CEIP EVARISTO CALATAYUD,PÚB.,MONTSERRAT,60.0,POINT (707203.7254670372 4359430.647543724),0.018759285390710787,0.00046738226960118737,0.021089966944937824
233,46005764,educacion,CEIP VICENTE BLASCO IBÁÑEZ,PÚB.,MUSEROS,46.0,POINT (727938.7445847767 4382931.868624226),0.004255376393123145,0.0032057985549631593,0.006353634895866831
234,46005788,educacion,CEIP EMILIO LLUCH,PÚB.,NÁQUERA,41.0,POINT (720542.0826200658 4393286.065770922),0.0031818620255738036,0.002858314535772247,0.07592670399358692
254,46006161,educacion,CENTRE PRIVAT LA INMACULADA,PRIV. CONC.,PAIPORTA,22.0,POINT (722253.4437464719 4367290.096979709),0.0030979328135351293,0.0014764515265180446,0.00043327915694675226
255,46006185,educacion,CEIP AUSIÀS MARCH,PÚB.,PAIPORTA,48.0,POINT (722619.4300760288 4367791.950636832),0.007269595481068229,0.05974113875281093,0.004449444056708188
257,46006264,educacion,CENTRE PRIVAT ESCUELA 2,PRIV. CONC.,CAÑADA (LA),18.0,POINT (717508.2501324606 4378314.608897015),0.09465089742312009,0.014117805318447056,0.04838757519529346
